datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count
2012-10-07T05:00:00Z,4,0,0,2,18.04,21.97,54,8.9981,2,8,10
2012-12-07T04:00:00Z,4,0,1,1,10.66,13.635,75,7.0015,0,10,10
2012-08-13T12:00:00Z,3,0,1,1,31.98,34.85,40,12.998,96,180,276
2011-12-05T13:00:00Z,4,0,1,2,17.22,21.21,71,6.0032,18,153,171
2012-01-19T18:00:00Z,1,0,1,2,10.66,11.365,44,22.0028,16,345,361
2012-09-06T16:00:00Z,3,0,1,1,30.34,34.85,70,15.0013,42,374,416
2011-02-02T21:00:00Z,1,0,1,1,9.02,9.85,47,22.0028,1,62,63
2011-03-05T09:00:00Z,1,0,0,2,13.12,15.15,93,15.0013,15,48,63
2011-02-13T13:00:00Z,1,0,0,1,15.58,19.695,29,23.9994,62,92,154
2012-12-19T08:00:00Z,4,0,1,1,9.84,12.88,87,7.0015,13,665,678
2011-02-02T05:00:00Z,1,0,1,3,9.02,12.12,93,7.0015,0,3,3
2012-05-14T14:00:00Z,2,0,1,2,25.42,29.545,73,16.9979,43,128,171
2012-07-18T07:00:00Z,3,0,1,1,30.34,34.85,66,11.0014,23,472,495
2012-10-15T05:00:00Z,4,0,1,2,22.96,26.515,73,19.0012,2,38,40
2012-10-09T00:00:00Z,4,0,1,2,15.58,19.695,82,15.0013,9,22,31
2012-09-07T00:00:00Z,3,0,1,1,26.24,28.79,89,8.9981,17,79,96
2012-01-02T11:00:00Z,1,1,0,1,10.66,10.605,35,32.9975,33,142,175
2012-05-08T11:00:00Z,2,0,1,2,24.6,30.305,64,26.0027,60,157,217
2011-10-04T19:00:00Z,4,0,1,1,21.32,25,68,15.0013,35,310,345
2012-02-02T12:00:00Z,1,0,1,1,17.22,21.21,82,0,8,140,148
2011-02-07T10:00:00Z,1,0,1,1,9.84,12.88,75,7.0015,6,49,55
2012-07-01T05:00:00Z,3,0,0,1,27.88,31.82,79,7.0015,3,7,10
2011-02-19T06:00:00Z,1,0,0,1,16.4,20.455,17,27.9993,3,3,6
2011-10-10T04:00:00Z,4,1,0,1,18.86,22.725,94,0,2,4,6
2011-12-07T16:00:00Z,4,0,1,3,17.22,21.21,94,12.998,3,28,31
2012-11-10T06:00:00Z,4,0,0,1,9.84,12.88,93,6.0032,5,11,16
2011-10-08T06:00:00Z,4,0,0,1,17.22,21.21,94,0,6,16,22
2012-12-03T00:00:00Z,4,0,1,2,17.22,21.21,82,11.0014,3,18,21
2012-12-02T06:00:00Z,4,0,0,2,9.84,12.12,93,8.9981,1,15,16
2011-05-14T19:00:00Z,2,0,0,3,22.14,25.76,94,8.9981,69,179,248
2011-06-17T11:00:00Z,2,0,1,1,27.88,31.82,69,16.9979,43,138,181
2011-07-18T00:00:00Z,3,0,1,1,28.7,33.335,74,8.9981,21,30,51
2011-04-11T19:00:00Z,2,0,1,1,29.52,33.335,51,30.0026,73,211,284
2011-09-04T22:00:00Z,3,0,0,2,29.52,34.85,74,19.0012,70,85,155
2011-03-07T04:00:00Z,1,0,1,1,8.2,7.575,80,35.0008,1,0,1
2012-12-14T04:00:00Z,4,0,1,1,8.2,11.365,75,6.0032,1,9,10
2012-03-13T05:00:00Z,1,0,1,2,18.86,22.725,82,12.998,0,24,24
2011-05-03T23:00:00Z,2,0,1,2,22.96,26.515,68,22.0028,12,50,62
2012-05-07T02:00:00Z,2,0,1,1,20.5,24.24,77,12.998,1,5,6
2012-06-15T15:00:00Z,2,0,1,1,29.52,32.575,39,12.998,107,270,377
2011-10-09T17:00:00Z,4,0,0,1,25.42,30.305,61,7.0015,208,230,438
2012-11-09T20:00:00Z,4,0,1,1,14.76,17.425,66,8.9981,20,235,255
2012-04-04T00:00:00Z,2,0,1,1,19.68,23.485,48,0,18,23,41
2012-05-16T01:00:00Z,2,0,1,2,23.78,27.275,88,8.9981,7,14,21
2012-09-19T19:00:00Z,3,0,1,1,22.96,26.515,43,15.0013,72,539,611
2012-06-04T07:00:00Z,2,0,1,1,22.96,26.515,60,15.0013,13,504,517
2012-12-07T19:00:00Z,4,0,1,2,15.58,19.695,76,0,15,337,352
2011-09-15T05:00:00Z,3,0,1,1,24.6,28.79,78,0,1,30,31
2011-02-07T20:00:00Z,1,0,1,2,13.12,16.665,70,7.0015,6,82,88
2011-07-15T00:00:00Z,3,0,1,1,25.42,29.545,73,15.0013,23,57,80
2011-05-15T03:00:00Z,2,0,0,2,21.32,25,100,0,11,21,32
2012-06-09T16:00:00Z,2,0,0,1,33.62,34.85,24,12.998,219,315,534
2012-03-05T21:00:00Z,1,0,1,1,10.66,11.365,37,26.0027,4,116,120
2011-06-08T23:00:00Z,2,0,1,1,31.16,37.12,75,12.998,18,98,116
2011-12-18T03:00:00Z,4,0,0,1,9.02,10.605,55,15.0013,2,16,18
2012-02-03T13:00:00Z,1,0,1,1,14.76,18.18,46,0,25,173,198
2011-02-12T04:00:00Z,1,0,0,1,4.92,8.335,74,6.0032,0,4,4
2012-02-15T07:00:00Z,1,0,1,2,12.3,14.395,65,12.998,3,318,321
2011-08-15T05:00:00Z,3,0,1,2,24.6,27.275,88,12.998,3,14,17
2011-01-13T20:00:00Z,1,0,1,1,6.56,7.575,47,15.0013,0,64,64
2011-08-16T17:00:00Z,3,0,1,1,31.16,34.09,45,22.0028,75,525,600
2011-04-18T02:00:00Z,2,0,1,1,17.22,21.21,67,7.0015,14,2,16
2011-05-02T11:00:00Z,2,0,1,1,23.78,27.275,73,19.9995,34,96,130
2011-08-13T21:00:00Z,3,0,0,2,27.88,31.82,83,26.0027,40,127,167
2012-04-15T19:00:00Z,2,0,0,1,28.7,31.82,42,16.9979,114,265,379
2011-01-07T21:00:00Z,1,0,1,1,7.38,9.85,47,8.9981,0,39,39
2012-12-13T02:00:00Z,4,0,1,2,10.66,12.12,56,16.9979,3,5,8
2011-02-07T15:00:00Z,1,0,1,2,15.58,19.695,54,6.0032,4,46,50
2011-12-15T03:00:00Z,4,0,1,2,13.12,16.665,70,8.9981,1,2,3
2012-04-12T07:00:00Z,2,0,1,1,12.3,13.635,65,22.0028,12,294,306
2012-07-15T02:00:00Z,3,0,0,2,27.88,31.82,89,11.0014,29,86,115
2011-03-11T20:00:00Z,1,0,1,1,12.3,15.15,56,11.0014,6,70,76
2011-12-11T20:00:00Z,4,0,0,1,9.02,12.12,55,7.0015,10,62,72
2012-11-03T11:00:00Z,4,0,0,2,14.76,16.665,46,26.0027,56,284,340
2012-11-07T14:00:00Z,4,0,1,2,13.12,14.395,53,23.9994,19,142,161
2011-05-04T07:00:00Z,2,0,1,3,13.94,15.15,93,23.9994,6,46,52
2011-08-15T10:00:00Z,3,0,1,1,27.88,31.82,69,19.0012,54,87,141
2011-12-09T00:00:00Z,4,0,1,1,9.84,14.395,65,0,8,26,34
2011-04-17T03:00:00Z,2,0,0,1,16.4,20.455,66,8.9981,12,13,25
2011-06-16T04:00:00Z,2,0,1,2,22.96,26.515,68,7.0015,0,6,6
2011-05-14T03:00:00Z,2,0,0,2,20.5,24.24,88,8.9981,5,30,35
2012-11-17T06:00:00Z,4,0,0,1,9.84,11.365,70,15.0013,0,21,21
2012-12-01T08:00:00Z,4,0,0,2,9.84,12.12,87,8.9981,11,133,144
2011-08-07T05:00:00Z,3,0,0,1,28.7,33.335,89,12.998,1,4,5
2011-04-16T02:00:00Z,2,0,0,2,14.76,17.425,87,8.9981,5,19,24
2011-08-14T05:00:00Z,3,0,0,2,26.24,28.03,94,11.0014,1,9,10
2011-07-01T03:00:00Z,3,0,1,1,26.24,31.06,53,0,5,6,11
2012-07-10T07:00:00Z,3,0,1,2,28.7,33.335,74,7.0015,31,489,520
2012-01-07T20:00:00Z,1,0,0,1,20.5,24.24,39,16.9979,21,149,170
2012-01-15T20:00:00Z,1,0,0,1,6.56,9.09,37,7.0015,10,85,95
2011-11-05T17:00:00Z,4,0,0,1,15.58,19.695,40,11.0014,100,234,334
2011-03-01T06:00:00Z,1,0,1,1,8.2,9.09,59,19.9995,0,46,46
2012-09-15T06:00:00Z,3,0,0,1,22.14,25.76,49,27.9993,6,27,33
2011-06-16T19:00:00Z,2,0,1,1,25.42,28.79,83,19.0012,58,269,327
2012-12-03T03:00:00Z,4,0,1,1,15.58,19.695,87,0,2,6,8
2011-11-04T06:00:00Z,4,0,1,2,15.58,19.695,87,6.0032,2,64,66
2011-12-12T17:00:00Z,4,0,1,2,12.3,16.665,56,0,7,352,359
2012-07-10T05:00:00Z,3,0,1,1,27.06,30.305,83,8.9981,3,39,42
2012-11-15T02:00:00Z,4,0,1,2,10.66,12.88,70,11.0014,0,7,7
2012-07-18T14:00:00Z,3,0,1,1,38.54,43.94,38,22.0028,54,116,170
2011-03-14T22:00:00Z,1,0,1,1,13.12,16.665,49,7.0015,4,43,47
2012-11-19T08:00:00Z,4,0,1,2,14.76,16.665,66,19.9995,13,650,663
2012-10-05T14:00:00Z,4,0,1,1,30.34,32.575,37,15.0013,113,287,400
2011-10-07T16:00:00Z,4,0,1,1,26.24,31.06,44,0,73,346,419
2012-08-17T19:00:00Z,3,0,1,2,30.34,12.12,55,26.0027,88,403,491
2011-08-19T05:00:00Z,3,0,1,1,26.24,28.79,83,0,1,16,17
2011-11-19T05:00:00Z,4,0,0,1,9.84,11.365,56,16.9979,0,2,2
2011-12-16T15:00:00Z,4,0,1,2,13.12,15.15,45,19.9995,12,141,153
2011-03-07T08:00:00Z,1,0,1,1,8.2,9.09,75,26.0027,11,200,211
2011-02-05T16:00:00Z,1,0,0,3,9.02,11.365,100,8.9981,8,63,71
2011-04-11T10:00:00Z,2,0,1,2,22.96,26.515,83,19.9995,41,55,96
2012-10-06T11:00:00Z,4,0,0,1,26.24,30.305,65,16.9979,258,389,647
2012-02-14T00:00:00Z,1,0,1,2,10.66,15.15,60,0,0,14,14
2012-12-04T17:00:00Z,4,0,1,1,21.32,25,59,15.0013,43,700,743
2012-06-07T18:00:00Z,2,0,1,1,28.7,31.82,34,19.0012,110,703,813
2011-05-18T18:00:00Z,2,0,1,1,24.6,29.545,73,15.0013,58,431,489
2011-06-15T19:00:00Z,2,0,1,1,28.7,31.82,37,19.0012,54,362,416
2012-11-03T16:00:00Z,4,0,0,2,14.76,16.665,46,22.0028,108,292,400
2012-01-18T06:00:00Z,1,0,1,1,13.94,14.395,36,35.0008,0,88,88
2011-12-12T22:00:00Z,4,0,1,1,10.66,15.15,70,0,0,71,71
2011-08-03T18:00:00Z,3,0,1,3,28.7,33.335,84,0,49,443,492
2012-08-06T21:00:00Z,3,0,1,1,30.34,34.85,70,12.998,72,245,317
2011-09-08T07:00:00Z,3,0,1,3,25.42,27.275,94,7.0015,7,172,179
2012-07-14T12:00:00Z,3,0,0,2,30.34,34.85,66,6.0032,181,318,499
2012-10-16T22:00:00Z,4,0,1,1,16.4,20.455,71,6.0032,18,163,181
2011-03-15T08:00:00Z,1,0,1,1,10.66,14.395,70,6.0032,23,259,282
2012-08-16T05:00:00Z,3,0,1,1,24.6,28.79,78,11.0014,7,30,37
2012-09-16T09:00:00Z,3,0,0,1,23.78,27.275,60,8.9981,70,226,296
2011-06-03T06:00:00Z,2,0,1,1,22.14,25.76,45,19.9995,8,98,106
2012-06-01T04:00:00Z,2,0,1,2,25.42,29.545,73,6.0032,1,5,6
2012-11-18T00:00:00Z,4,0,0,2,12.3,15.15,70,11.0014,11,118,129
2012-12-01T09:00:00Z,4,0,0,2,10.66,12.12,93,16.9979,34,159,193
2011-03-07T07:00:00Z,1,0,1,1,8.2,8.335,75,27.9993,3,88,91
2011-08-14T15:00:00Z,3,0,0,1,30.34,34.85,66,12.998,128,203,331
2012-02-10T11:00:00Z,1,0,1,2,11.48,14.395,45,7.0015,19,134,153
2011-12-10T15:00:00Z,4,0,0,1,13.94,15.15,34,23.9994,60,239,299
2012-12-10T09:00:00Z,4,0,1,2,17.22,21.21,100,15.0013,11,273,284
2012-01-10T06:00:00Z,1,0,1,2,7.38,9.09,93,12.998,0,79,79
2012-12-13T15:00:00Z,4,0,1,1,14.76,17.425,34,8.9981,40,240,280
2011-09-15T21:00:00Z,3,0,1,1,18.86,22.725,63,22.0028,11,134,145
2012-08-12T20:00:00Z,3,0,0,1,29.52,32.575,45,0,96,204,300
2012-05-08T09:00:00Z,2,0,1,2,22.96,26.515,68,23.9994,37,258,295
2011-12-15T23:00:00Z,4,0,1,1,21.32,25,63,22.0028,10,104,114
2012-12-18T12:00:00Z,4,0,1,3,19.68,23.485,48,16.9979,49,264,313
2012-11-18T20:00:00Z,4,0,0,1,14.76,17.425,66,11.0014,9,120,129
2012-11-06T04:00:00Z,4,0,1,1,9.02,12.88,69,6.0032,0,7,7
2012-06-19T02:00:00Z,2,0,1,2,24.6,28.79,78,8.9981,1,14,15
2012-11-02T02:00:00Z,4,0,1,1,13.12,15.91,66,11.0014,3,7,10
2012-01-12T05:00:00Z,1,0,1,3,13.94,17.425,93,6.0032,0,16,16
2011-11-09T19:00:00Z,4,0,1,1,18.04,21.97,72,7.0015,12,292,304
2011-12-06T02:00:00Z,4,0,1,2,18.86,22.725,87,12.998,0,3,3
2011-03-13T09:00:00Z,1,0,0,1,16.4,20.455,50,27.9993,8,36,44
2012-05-06T03:00:00Z,2,0,0,2,22.14,25.76,83,12.998,9,19,28
2011-12-16T11:00:00Z,4,0,1,2,13.94,15.15,42,19.9995,9,135,144
2012-01-06T09:00:00Z,1,0,1,1,9.84,12.12,70,11.0014,4,237,241
2012-02-05T22:00:00Z,1,0,0,1,10.66,13.635,60,7.0015,9,182,191
2011-09-04T15:00:00Z,3,0,0,1,31.98,37.88,66,19.0012,218,192,410
2012-07-01T02:00:00Z,3,0,0,1,29.52,34.85,74,6.0032,21,69,90
2012-01-03T14:00:00Z,1,0,1,1,6.56,6.06,43,35.0008,7,72,79
2012-03-11T03:00:00Z,1,0,0,1,9.84,12.12,60,8.9981,15,51,66
2012-09-18T04:00:00Z,3,0,1,2,25.42,27.275,94,23.9994,2,5,7
2011-06-19T14:00:00Z,2,0,0,3,30.34,34.09,58,7.0015,124,193,317
2012-05-14T22:00:00Z,2,0,1,2,23.78,27.275,78,6.0032,11,118,129
2012-02-14T02:00:00Z,1,0,1,2,11.48,15.91,41,0,0,3,3
2011-10-01T13:00:00Z,4,0,0,2,16.4,20.455,82,22.0028,27,98,125
2011-04-06T13:00:00Z,2,0,1,1,18.86,22.725,38,32.9975,29,83,112
2011-07-11T19:00:00Z,3,0,1,1,34.44,41.665,59,22.0028,80,293,373
2012-07-18T05:00:00Z,3,0,1,1,29.52,34.09,70,11.0014,5,41,46
2012-11-01T07:00:00Z,4,0,1,2,14.76,17.425,57,11.0014,6,414,420
2012-11-12T14:00:00Z,4,1,0,1,23.78,27.275,60,19.0012,134,310,444
2012-11-10T15:00:00Z,4,0,0,1,21.32,25,45,0,216,351,567
2012-11-18T03:00:00Z,4,0,0,2,12.3,15.15,81,11.0014,9,37,46
2011-10-17T02:00:00Z,4,0,1,1,22.96,26.515,54,26.0027,4,3,7
2011-03-02T17:00:00Z,1,0,1,1,20.5,24.24,23,19.0012,30,238,268
2011-04-08T19:00:00Z,2,0,1,3,12.3,13.635,93,27.9993,1,52,53
2011-03-10T14:00:00Z,1,0,1,3,18.04,21.97,0,19.9995,0,12,12
2011-12-14T12:00:00Z,4,0,1,2,14.76,18.18,57,6.0032,6,138,144
2012-06-12T01:00:00Z,2,0,1,2,27.88,31.82,65,11.0014,5,11,16
2011-10-09T15:00:00Z,4,0,0,1,27.88,31.82,51,11.0014,198,209,407
2012-05-02T00:00:00Z,2,0,1,1,24.6,28.79,78,7.0015,4,43,47
2012-11-03T08:00:00Z,4,0,0,2,13.94,15.15,46,19.9995,10,132,142
2012-12-05T22:00:00Z,4,0,1,1,13.12,14.395,45,26.0027,4,101,105
2012-10-10T17:00:00Z,4,0,1,1,23.78,27.275,43,15.0013,91,857,948
2012-02-16T15:00:00Z,1,0,1,3,13.94,18.18,76,0,3,50,53
2011-05-12T18:00:00Z,2,0,1,1,25.42,30.305,69,15.0013,64,463,527
2012-01-02T07:00:00Z,1,1,0,1,9.84,10.605,32,26.0027,0,16,16
2012-11-19T14:00:00Z,4,0,1,1,18.04,21.97,54,16.9979,47,170,217
2012-09-08T13:00:00Z,3,0,0,1,33.62,38.635,52,35.0008,233,435,668
2012-01-15T15:00:00Z,1,0,0,1,9.02,11.365,27,12.998,33,173,206
2011-04-09T14:00:00Z,2,0,0,2,14.76,17.425,81,8.9981,94,118,212
2012-05-19T16:00:00Z,2,0,0,1,30.34,32.575,30,7.0015,331,311,642
2012-06-18T17:00:00Z,2,0,1,2,24.6,29.545,73,12.998,54,669,723
2012-04-15T16:00:00Z,2,0,0,1,29.52,32.575,39,23.9994,286,330,616
2011-05-06T00:00:00Z,2,0,1,1,18.04,21.97,44,11.0014,13,43,56
2012-11-15T11:00:00Z,4,0,1,2,13.94,16.665,61,8.9981,28,138,166
2012-01-16T10:00:00Z,1,1,0,2,5.74,6.82,59,12.998,19,107,126
2012-02-07T06:00:00Z,1,0,1,1,13.12,15.15,45,19.9995,2,98,100
2012-10-18T20:00:00Z,4,0,1,2,22.96,26.515,68,16.9979,39,348,387
2012-04-05T00:00:00Z,2,0,1,1,21.32,25,23,27.9993,12,33,45
2012-05-15T16:00:00Z,2,0,1,1,27.88,31.82,65,11.0014,74,300,374
2012-11-09T06:00:00Z,4,0,1,1,10.66,13.635,65,7.0015,5,126,131
2011-11-16T00:00:00Z,4,0,1,2,18.86,22.725,94,0,5,26,31
2012-08-14T07:00:00Z,3,0,1,2,27.06,30.305,83,6.0032,1,178,179
2012-01-03T10:00:00Z,1,0,1,1,6.56,6.06,47,31.0009,5,55,60
2011-01-16T18:00:00Z,1,0,0,1,8.2,10.605,40,11.0014,11,56,67
2012-03-13T17:00:00Z,1,0,1,1,28.7,31.82,37,7.0015,62,614,676
2011-11-11T17:00:00Z,4,1,0,1,13.94,15.15,39,22.0028,24,286,310
2011-01-08T16:00:00Z,1,0,0,1,7.38,6.82,29,30.0026,8,68,76
2012-01-11T03:00:00Z,1,0,1,1,9.02,13.635,80,0,0,4,4
2011-12-10T23:00:00Z,4,0,0,1,8.2,10.605,47,11.0014,5,61,66
2011-04-04T10:00:00Z,2,0,1,2,22.14,25.76,45,23.9994,35,55,90
2011-12-16T16:00:00Z,4,0,1,2,13.12,15.15,45,15.0013,12,212,224
2011-02-07T00:00:00Z,1,0,1,1,9.84,14.395,65,0,1,14,15
2011-07-04T09:00:00Z,3,1,0,2,29.52,34.09,66,6.0032,142,96,238
2011-02-03T06:00:00Z,1,0,1,1,6.56,6.82,43,23.9994,0,39,39
2011-09-10T08:00:00Z,3,0,0,1,25.42,28.79,83,11.0014,16,103,119
2012-08-10T12:00:00Z,3,0,1,2,30.34,34.85,66,23.9994,75,240,315
2011-04-02T19:00:00Z,2,0,0,1,14.76,16.665,53,23.9994,71,77,148
2012-04-05T11:00:00Z,2,0,1,2,17.22,21.21,38,15.0013,109,159,268
2011-01-13T02:00:00Z,1,0,1,1,5.74,6.06,50,23.9994,0,2,2
2012-02-01T07:00:00Z,1,0,1,3,15.58,19.695,62,6.0032,7,201,208
2012-12-11T00:00:00Z,4,0,1,3,18.86,22.725,77,31.0009,2,29,31
2012-06-18T01:00:00Z,2,0,1,1,22.14,25.76,77,15.0013,9,5,14
2011-12-09T01:00:00Z,4,0,1,1,9.84,14.395,65,0,2,12,14
2011-07-10T18:00:00Z,3,0,0,1,33.62,37.12,43,19.0012,141,222,363
2011-11-03T02:00:00Z,4,0,1,1,13.94,16.665,76,8.9981,2,5,7
2011-02-19T08:00:00Z,1,0,0,1,15.58,19.695,17,39.0007,9,36,45
2012-06-19T01:00:00Z,2,0,1,2,24.6,28.79,78,11.0014,1,13,14
2012-02-04T12:00:00Z,1,0,0,2,12.3,15.91,70,6.0032,40,260,300
2012-07-14T18:00:00Z,3,0,0,1,29.52,34.85,79,8.9981,108,243,351
2012-06-05T04:00:00Z,2,0,1,3,20.5,24.24,82,12.998,1,4,5
2012-03-09T22:00:00Z,1,0,1,1,13.94,14.395,31,32.9975,7,100,107
2012-07-09T15:00:00Z,3,0,1,2,31.16,34.09,45,15.0013,66,214,280
2011-02-03T14:00:00Z,1,0,1,1,9.02,9.85,37,26.0027,4,43,47
2011-05-01T11:00:00Z,2,0,0,1,18.86,22.725,82,7.0015,109,141,250
2011-06-16T11:00:00Z,2,0,1,2,27.88,31.82,61,19.9995,33,117,150
2011-09-11T11:00:00Z,3,0,0,1,28.7,32.575,65,0,144,258,402
2011-10-12T14:00:00Z,4,0,1,3,22.14,25.76,94,19.0012,8,70,78
2012-05-06T14:00:00Z,2,0,0,2,24.6,30.305,64,7.0015,226,292,518
2011-06-05T02:00:00Z,2,0,0,2,26.24,31.06,61,11.0014,16,48,64
2011-12-05T15:00:00Z,4,0,1,2,18.86,22.725,72,6.0032,16,132,148
2011-12-01T09:00:00Z,4,0,1,1,12.3,13.635,52,22.0028,9,215,224
2011-10-03T08:00:00Z,4,0,1,2,14.76,18.18,71,7.0015,13,359,372
2011-07-11T04:00:00Z,3,0,1,1,27.06,31.06,74,15.0013,0,4,4
2011-07-05T09:00:00Z,3,0,1,1,30.34,34.09,58,8.9981,50,177,227
2011-11-15T07:00:00Z,4,0,1,2,22.14,25.76,68,11.0014,21,298,319
2011-09-06T02:00:00Z,3,0,1,3,22.14,25.76,94,16.9979,0,2,2
2012-02-06T13:00:00Z,1,0,1,1,15.58,19.695,40,15.0013,17,124,141
2011-06-04T12:00:00Z,2,0,0,1,28.7,31.82,32,11.0014,150,270,420
2012-01-18T22:00:00Z,1,0,1,1,7.38,8.335,47,16.9979,4,74,78
2011-03-10T18:00:00Z,1,0,1,3,18.04,21.97,0,23.9994,2,80,82
2012-02-11T02:00:00Z,1,0,0,3,10.66,12.88,81,12.998,2,24,26
2011-02-10T12:00:00Z,1,0,1,1,6.56,6.82,34,26.0027,4,65,69
2011-11-14T14:00:00Z,4,0,1,1,25.42,31.06,46,30.0026,47,138,185
2012-04-11T00:00:00Z,2,0,1,1,13.94,15.15,36,27.9993,8,22,30
2011-07-08T04:00:00Z,3,0,1,1,28.7,33.335,79,16.9979,7,4,11
2011-03-14T05:00:00Z,1,0,1,1,9.84,12.12,70,8.9981,0,8,8
2011-04-05T06:00:00Z,2,0,1,2,19.68,23.485,88,22.0028,2,36,38
2011-03-12T21:00:00Z,1,0,0,1,15.58,19.695,62,0,36,46,82
2012-07-12T01:00:00Z,3,0,1,2,27.06,31.06,61,0,0,21,21
2011-06-18T19:00:00Z,2,0,0,2,30.34,33.335,51,7.0015,99,227,326
2011-11-11T03:00:00Z,4,1,0,1,12.3,14.395,61,12.998,0,6,6
2012-12-10T10:00:00Z,4,0,1,2,18.04,21.97,94,15.0013,12,121,133
2011-02-08T03:00:00Z,1,0,1,3,11.48,13.635,93,11.0014,0,1,1
2011-11-08T15:00:00Z,4,0,1,1,23.78,27.275,46,7.0015,33,155,188
2012-02-13T09:00:00Z,1,0,1,1,4.92,6.82,50,12.998,7,198,205
2012-05-15T00:00:00Z,2,0,1,2,22.96,26.515,88,8.9981,7,25,32
2012-10-06T12:00:00Z,4,0,0,1,28.7,32.575,54,7.0015,362,381,743
